job_id,job_title,posting_year,salary_usd,skill
J0001,Data Analyst,2023,73913.0,statistics
J0001,Data Analyst,2023,73913.0,business analysis
J0001,Data Analyst,2023,73913.0,tableau
J0001,Data Analyst,2023,73913.0,sql
J0001,Data Analyst,2023,73913.0,python
J0001,Data Analyst,2023,73913.0,excel
J0002,Data Analyst,2023,80276.0,business analysis
J0002,Data Analyst,2023,80276.0,sql
J0002,Data Analyst,2023,80276.0,tableau
J0002,Data Analyst,2023,80276.0,statistics
J0002,Data Analyst,2023,80276.0,python
J0002,Data Analyst,2023,80276.0,excel
J0003,Data Analyst,2023,67835.0,tableau
J0003,Data Analyst,2023,67835.0,excel
J0003,Data Analyst,2023,67835.0,python
J0003,Data Analyst,2023,67835.0,statistics
J0003,Data Analyst,2023,67835.0,sql
J0003,Data Analyst,2023,67835.0,business analysis
J0004,Risk Analyst,2023,81402.0,credit risk
J0004,Risk Analyst,2023,81402.0,statistics
J0004,Risk Analyst,2023,81402.0,model validation
J0004,Risk Analyst,2023,81402.0,python
J0004,Risk Analyst,2023,81402.0,excel
J0004,Risk Analyst,2023,81402.0,sql
J0005,Risk Analyst,2023,82713.0,excel
J0005,Risk Analyst,2023,82713.0,model validation
J0005,Risk Analyst,2023,82713.0,python
J0005,Risk Analyst,2023,82713.0,credit risk
J0005,Risk Analyst,2023,82713.0,sql
J0005,Risk Analyst,2023,82713.0,statistics
J0006,Risk Analyst,2023,82371.0,statistics
J0006,Risk Analyst,2023,82371.0,model validation
J0006,Risk Analyst,2023,82371.0,credit risk
J0006,Risk Analyst,2023,82371.0,python
J0006,Risk Analyst,2023,82371.0,excel
J0006,Risk Analyst,2023,82371.0,sql
J0007,Software Engineer,2023,114706.0,python
J0007,Software Engineer,2023,114706.0,java
J0007,Software Engineer,2023,114706.0,git
J0007,Software Engineer,2023,114706.0,cloud
J0007,Software Engineer,2023,114706.0,system design
J0007,Software Engineer,2023,114706.0,sql
J0008,Software Engineer,2023,107079.0,system design
J0008,Software Engineer,2023,107079.0,git
J0008,Software Engineer,2023,107079.0,python
J0008,Software Engineer,2023,107079.0,sql
J0008,Software Engineer,2023,107079.0,cloud
J0008,Software Engineer,2023,107079.0,java
J0009,Software Engineer,2023,99173.0,system design
J0009,Software Engineer,2023,99173.0,git
J0009,Software Engineer,2023,99173.0,cloud
J0009,Software Engineer,2023,99173.0,python
J0009,Software Engineer,2023,99173.0,java
J0009,Software Engineer,2023,99173.0,sql
J0010,Machine Learning Engineer,2023,113318.0,pytorch
J0010,Machine Learning Engineer,2023,113318.0,mlops
J0010,Machine Learning Engineer,2023,113318.0,python
J0010,Machine Learning Engineer,2023,113318.0,cloud
J0010,Machine Learning Engineer,2023,113318.0,sql
J0010,Machine Learning Engineer,2023,113318.0,machine learning
J0011,Machine Learning Engineer,2023,124085.0,python
